epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,287.992,0.47076,0.89062,1,0.27771,0.000235264,0.000235264,0.000235264
2,555.08,0.20138,0.94271,1,0.13701,0.00043422,0.00043422,0.00043422
3,815.614,0.14655,0.96875,1,0.08803,0.000593906,0.000593906,0.000593906
4,1084.37,0.14983,0.98438,1,0.047,0.000537285,0.000537285,0.000537285
5,1343.81,0.15443,0.95833,1,0.08636,0.00047838,0.00047838,0.00047838
6,1636.22,0.1353,0.96875,1,0.07705,0.000419475,0.000419475,0.000419475
7,1914.13,0.10139,0.97396,1,0.05398,0.00036057,0.00036057,0.00036057
8,2199.59,0.08421,0.97396,1,0.06891,0.000301665,0.000301665,0.000301665
9,2498.09,0.06728,0.96875,1,0.06461,0.00024276,0.00024276,0.00024276
10,2774.27,0.05466,0.98438,1,0.03878,0.000183855,0.000183855,0.000183855
11,3066.19,0.06891,0.98958,1,0.03721,0.00012495,0.00012495,0.00012495
12,3334.98,0.06611,0.98438,1,0.037,6.6045e-05,6.6045e-05,6.6045e-05
