epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8202,2.64956,4.43585,1.89898,0.00168,0.16101,0.1038,0.05111,1.91406,3.93863,1.4116,0.00020006,0.00020006,0.00020006
2,15.5499,1.51092,3.24818,1.20331,0.00419,0.49184,0.19574,0.08279,1.67208,3.58919,1.16919,0.000397999,0.000397999,0.000397999
3,20.3595,1.46993,2.48595,1.14152,0.00402,0.44716,0.21645,0.10806,1.76792,3.46501,1.19928,0.000578962,0.000578962,0.000578962
4,24.9976,1.43546,2.15301,1.1203,0.86048,0.11619,0.27366,0.13031,1.65452,3.24486,1.24631,0.000742949,0.000742949,0.000742949
5,30.0032,1.37944,1.89402,1.11913,1,0.04393,0.26002,0.14352,1.61131,3.19229,1.21839,0.000889958,0.000889958,0.000889958
6,34.7485,1.34523,1.7176,1.11739,0.96717,0.0485,0.2984,0.1521,1.64776,3.13128,1.26763,0.00101999,0.00101999,0.00101999
7,39.4381,1.35397,1.68342,1.13973,0.79669,0.37053,0.60092,0.34831,1.51534,2.33874,1.14547,0.00108947,0.00108947,0.00108947
8,44.0358,1.29887,1.55581,1.10082,0.72128,0.43648,0.60793,0.34806,1.48104,2.12443,1.13827,0.00103288,0.00103288,0.00103288
9,48.5037,1.28677,1.48825,1.105,0.72126,0.59777,0.67579,0.40382,1.38872,1.8887,1.11895,0.000976293,0.000976293,0.000976293
10,53.1853,1.217,1.39972,1.06057,0.65154,0.69241,0.69308,0.45059,1.34605,1.56832,1.08205,0.000919704,0.000919704,0.000919704
11,57.856,1.21769,1.37359,1.0673,0.6319,0.6977,0.68946,0.43104,1.363,1.56165,1.09914,0.000863116,0.000863116,0.000863116
12,62.8858,1.21047,1.30463,1.04602,0.66677,0.76549,0.75801,0.48137,1.31426,1.31669,1.09975,0.000806528,0.000806528,0.000806528
13,67.6132,1.17947,1.24944,1.05367,0.78474,0.71762,0.77074,0.47601,1.39952,1.30389,1.14884,0.000749939,0.000749939,0.000749939
14,72.1787,1.1967,1.28331,1.05832,0.7612,0.82679,0.8298,0.54254,1.27046,1.22265,1.08488,0.000693351,0.000693351,0.000693351
15,76.8195,1.15421,1.18582,1.039,0.79276,0.77314,0.81687,0.5582,1.2135,1.14423,1.04405,0.000636762,0.000636762,0.000636762
16,83.9194,1.12527,1.39263,1.05347,0.73981,0.74241,0.79435,0.52402,1.2769,1.40019,1.06256,0.000580174,0.000580174,0.000580174
17,88.881,1.11275,1.31787,1.03613,0.83017,0.74762,0.83875,0.56816,1.20244,1.0868,1.02178,0.000523586,0.000523586,0.000523586
18,93.532,1.09521,1.28019,1.04044,0.80745,0.82833,0.83451,0.56066,1.21003,1.05861,1.02585,0.000466997,0.000466997,0.000466997
19,98.2112,1.05825,1.2269,1.00332,0.87375,0.8215,0.84248,0.57028,1.18041,1.02203,1.00487,0.000410409,0.000410409,0.000410409
20,102.745,1.01449,1.17608,1.00454,0.84797,0.84403,0.84285,0.60569,1.11127,0.98982,0.98865,0.00035382,0.00035382,0.00035382
21,107.285,1.04166,1.17767,1.01915,0.85438,0.82079,0.84314,0.59677,1.13731,0.99369,0.99919,0.000297232,0.000297232,0.000297232
22,111.664,0.99297,1.09871,0.97513,0.81372,0.87052,0.85519,0.59654,1.12899,0.9563,0.99151,0.000240644,0.000240644,0.000240644
23,116.219,0.97162,1.11076,0.98599,0.82194,0.8707,0.85958,0.60034,1.12394,0.91963,0.99006,0.000184055,0.000184055,0.000184055
24,120.827,0.96694,1.05541,0.98574,0.85352,0.85029,0.85989,0.5993,1.12154,0.90078,0.98967,0.000127467,0.000127467,0.000127467
25,125.339,0.97094,1.03807,0.97701,0.84896,0.86287,0.858,0.61509,1.10591,0.88271,0.98388,7.08784e-05,7.08784e-05,7.08784e-05
